YEAR,SERIALNO,PUMA,ADJHSG,ADJINC,CONP,ELEP,FS,GASP,MHP,MRGI,MRGP,MRGT,MRGX,RNTP,SMP,VACS,VALP,YBL,FES,FINCP,GRNTP,GRPIP,HHL,HHT,HINCP,LNGI,MV,OCPIP,SMOCP,TAXP,WORKSTAT,?
2013,178769,812,1000000,1007549,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1100,NULL,1,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
2013,179267,812,1000000,1007549,NULL,80,2,100,NULL,2,2000,1,1,NULL,NULL,NULL,550000,1,NULL,NULL,NULL,NULL,1,4,82100,1,5,34,2335,38,NULL,?
2013,183051,812,1000000,1007549,NULL,80,2,60,NULL,NULL,NULL,NULL,NULL,2200,NULL,NULL,NULL,7,1,62700,2375,45,1,1,62700,1,1,NULL,NULL,NULL,1,?
2013,184778,812,1000000,1007549,NULL,160,2,2,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,460000,1,NULL,NULL,NULL,NULL,1,6,31600,1,4,14,369,33,NULL,?
2013,185673,812,1000000,1007549,320,50,2,1,NULL,2,890,1,1,NULL,NULL,NULL,210000,6,1,425200,NULL,NULL,1,1,425200,1,1,4,1302,32,1,?
2013,188635,812,1000000,1007549,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
2013,192956,812,1000000,1007549,NULL,100,2,2,NULL,NULL,NULL,NULL,NULL,1500,NULL,NULL,NULL,8,3,145300,1625,13,1,1,145300,1,3,NULL,NULL,NULL,7,?
2013,195636,812,1000000,1007549,NULL,160,2,2,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,460000,1,1,119400,NULL,NULL,1,1,119400,1,3,4,369,33,1,?
2013,195803,812,1000000,1007549,NULL,160,2,2,NULL,1,2500,1,1,NULL,NULL,NULL,630000,15,1,172200,NULL,NULL,1,1,172200,1,3,19,2702,52,1,?
2013,196697,812,1000000,1007549,NULL,130,2,3,NULL,NULL,NULL,NULL,NULL,500,NULL,NULL,NULL,8,NULL,NULL,630,23,1,5,32500,1,3,NULL,NULL,NULL,NULL,?
